route_id,date,departure_time,predicted_fuel_consumption
17,2023-03-05,19:20:00,6.827044160774047
17,2023-03-05,20:20:00,5.797098120718244
17,2023-03-05,21:20:00,5.8651894020662585
17,2023-03-05,22:00:00,7.3489166738
17,2023-03-05,22:20:00,8.109263991893073
17,2023-03-06,07:20:00,5.1831310724902195
17,2023-03-06,08:00:00,1.7481944387833335
17,2023-03-06,08:20:00,6.415696978354882
17,2023-03-06,09:20:00,5.945901027865336
17,2023-03-06,10:00:00,7.402500006988889
17,2023-03-06,10:20:00,5.536761121640989
17,2023-03-06,11:20:00,5.647460025130848
17,2023-03-06,12:20:00,4.9295361641405995
17,2023-03-06,13:00:00,4.002472227211111
17,2023-03-06,13:20:00,5.031411824500798
17,2023-03-06,13:40:00,5.632583349083333
17,2023-03-06,14:20:00,4.821036821814555
17,2023-03-06,15:20:00,5.305754395024756
17,2023-03-06,16:00:00,4.666666681866666
17,2023-03-06,16:20:00,5.197975765440935
17,2023-03-06,16:40:00,5.467527790255556
17,2023-03-06,17:00:00,5.231277802422222
17,2023-03-06,17:20:00,5.597831477513045
17,2023-03-06,18:00:00,6.37680556478611
17,2023-03-06,18:20:00,6.678814582555873
17,2023-03-06,19:20:00,6.827044160774047
17,2023-03-06,20:20:00,5.797098120718244
17,2023-03-06,21:20:00,5.8651894020662585
17,2023-03-06,22:00:00,7.3489166738
17,2023-03-06,22:20:00,8.109263991893073
17,2023-03-07,07:20:00,5.1831310724902195
17,2023-03-07,08:00:00,1.7481944387833335
17,2023-03-07,08:20:00,6.415696978354882
17,2023-03-07,09:20:00,5.945901027865336
17,2023-03-07,10:00:00,7.402500006988889
17,2023-03-07,10:20:00,5.536761121640989
17,2023-03-07,11:20:00,5.647460025130848
17,2023-03-07,12:20:00,4.9295361641405995
17,2023-03-07,13:00:00,4.002472227211111
17,2023-03-07,13:20:00,5.031411824500798
17,2023-03-07,13:40:00,5.632583349083333
17,2023-03-07,14:20:00,4.821036821814555
17,2023-03-07,15:20:00,5.305754395024756
17,2023-03-07,16:00:00,4.666666681866666
17,2023-03-07,16:20:00,5.197975765440935
17,2023-03-07,16:40:00,5.467527790255556
17,2023-03-07,17:00:00,5.231277802422222
17,2023-03-07,17:20:00,5.597831477513045
17,2023-03-07,18:00:00,6.37680556478611
17,2023-03-07,18:20:00,6.678814582555873
17,2023-03-07,19:20:00,6.827044160774047
17,2023-03-07,20:20:00,5.797098120718244
17,2023-03-07,21:20:00,5.8651894020662585
17,2023-03-07,22:00:00,7.3489166738
17,2023-03-07,22:20:00,8.109263991893073
